,wilayah,uptd,alamat,telepon,kondisi
1,Surabaya Pusat ,I ,Jalan Pasar Turi 21 Surabaya ,(031) 3533844 / (031) 3534738,BAIK
2,Pos Pegirian ,I,Jalan Pegirian 240 Surabaya ,(031) 3736945 ,BAIK
3,Pos Grudo ,I,Komplek Rusun Grudo Surabaya ,(031) 5681944 ,BAIK
4,Surabaya Utara ,II ,Jalan Kenjeran 120 Surabaya ,(031) 3712208 ,BAIK
5,Pos Menur ,II,Jalan Menur 31 Surabaya ,(031) 5915987 ,BAIK
6,Pos Bulak ,II,Jalan Kyai Tambak Deres 253 ,(031) 51503072 ,BAIK
7,Surabaya Timur ,III ,Jalan Brebek Industri XIV/8 ,(031) 8411113 ,BAIK
8,Pos Kali Rungkut ,III ,Jalan Rungkut Raya Surabaya ,(031) 8782081 ,BAIK
9,Pos Sukolilo ,III ,Jalan Raya Semolowaru Surabaya ,(031) 5955628 ,BAIK
10,Pos Keputih ,III ,Jalan Keputih Tegal Surabaya ,(031) 5948925 ,BAIK
11,Pos Gunung Anyar ,III ,Jalan Raya Wiguna 66 Surabaya ,(031) 8715831 ,BAIK
12,Surabaya Selatan ,IV ,Jalan Raya Menganti Wiyung ,(031) 7523687 ,BAIK
13,Pos Jambangan ,IV ,Jalan Jambangan Kebon Agung ,(031) 8270752 ,BAIK
14,Pos Lakarsantri ,IV ,Jalan Raya Menganti - Lakarsantri ,(031) 7526558 ,BAIK
15,Pos Waru Gunung ,IV ,Jalan Mastrip IX - Kompleks Rusunawa  Waru Gunung ,(031) 7672812 ,BAIK
16,Pos TVRI ,IV ,Jalan Mayjend Sungkono 124 ,(031) 5662560 ,BAIK
17,Surabaya Barat ,V ,Jalan Margomulyo Blok I/1 ,(031) 7490486 ,BAIK
18,Pos Pakal ,V ,Jalan Babat Jerawat 24 Surabaya ,(031) 7408134 ,BAIK
19,Pos Kandangan ,V ,Jalan Raya Kandangan 18 ,(031) 7410540 ,BAIK
20,Pos Tambak Oso Wilangon ,V ,Komplek Terminal Osowilangon ,(031) 51164790 ,BAIK
