,kecamatan,puskesmas,kode_puskesmas,kelurahan,alamat_puskesmas,tahun_berdiri,no_ijin,masa_berlaku_ijin,dasar,madya,utama,paripurna,no_penetapan,tgl_penetapan,keterangan
3,Asemrowo,Asemrowo,P3578270201,Asem Rowo,Jl. Asem Raya No. 8,,503.445 / 5 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Wiyung,Balas Klumprik,P3578130202,Balas Klumprik,Jl. Raya Balas Klumprik No. 43,,503.445 / 56 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Tandes,Balongsari,P3578150102,Karang Poh,Jl. Balongsari Tama No. 1,,503.445 / 4 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,1,TU.01.03/VI.14/2411/2016,31-Oct-16,
,Lakarsantri,Bangkingan,P3578140203,Bangkingan,"Jl. Raya Bangkingan RT 2, RW 2",,503.445 / 58 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Sawahan,Banyu Urip,P3578170103,Banyu Urip,Jl. Banyu Urip Kidul VI / 8 ,,503.445 / 43 / PKM-RIB / 436.6.3 / IX / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
5,Pakal,Benowo,P3578141202,Pakal,Jl. Raya Benowo No 7,,503.445 / 10 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Kenjeran,Bulak Banteng,P3578210205,Bulak Banteng,Jl. Dukuh Bulak Baneng Perintis Lebar,,503.445 / 61 / PKM - ALMT  / 436.6.3 / VII  / 2015,6 Juli 2015 s/d 05 September 2018,,,,,,,belum
,Tegalsari,Dr. Soetomo,P3578180202,Dr. Soetomo,Jl. Kupang Segunting II /22,,503.445 / 14 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
27,Dukuh Pakis,Dukuh Kupang,P3578120201,Dukuh Kupang,Jl. Dukuh Kupang XXV / 48,,503.445 / 48 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,1,,,,TU.01.03/VI.14/73/2017,31-Jan-17,
,Krembangan,Dupak,P3578260102,Dupak,Jl. Dupak Bangunrejo Gg. Poliklinik No.6,,503.445 / 24 / PKM-RIUB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,1,,TU.01.03/VI.14/818/2016,,
